URL,date,isCancelled,name,place,meetingUrl,year
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,21/10,,Distanze speciali Lombardia,Brescia,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134168:distanze-speciali-master-lombardia.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,27-28/10,,18° Trofeo Città di Verolanuova,Verolanuova (BS),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134145:18%C2%B0-trofeo-citt%C3%A0-di-verolanuova.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3-4/11,,Distanze Speciali Lazio,Civitavecchia (RM),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134170:distanze-speciali-master-lazio.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,4/11,,20° meeting della Solidarietà,L`Aquila,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134368:meeting-master-laquila.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,10-11/11,,10° Trofeo Città di Saronno,Saronno (VA9,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134149:10%C2%B0-trofeo-master-citt%C3%A0-di-saronno.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,11/11,,3° Memorial Maurizia Lenardon,Trieste,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134159:3%C2%B0-memorial-maurizia-lenardon.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17-18/11,,16° Trofeo De Akker Team ASI,Bologna,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134166:16%C2%B0-trofeo-de-akker-team-asi.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,17-18/11,,11° Trofeo Master Nuoto Vicenza,Vicenza,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134193:11%C2%B0-trofeo-master-nuoto-vicenza.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,18/11,,24° Trofeo Città di Rapallo,Rapallo (GE),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134199:24%C2%B0-trofeo-citt%C3%A0`%C2%A0di-rapallo.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,18/11,,3° Meeting Olgiata 20.12,Roma,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134198:3%C2%B0-meeting-olgiata-20-12.html,"2018"
