URL,date,isCancelled,name,place,meetingUrl,year
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16/12,,2° Trofeo Città di Belluno,Belluno,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134629:2%C2%B0-trofeo-citta`-di-belluno-sezione-under-25.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,31/03,,6° Trofeo Fanatik Team,Forlì (FC),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135552:6%C2%B0-trofeo-fanatik-team.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,18° Coppa Immota Manet,L'Aquila,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135473:18%C2%B0-coppa-immota-manet.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,3/03,,Campionati Regionali Molise,Campodipietra (CB),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135400:campionati-regionali-master-molise.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,16/12,,7° Trofeo Coopernuoto,Parma,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134464:7%C2%B0-trofeo-coopernuoto.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,24/02,,Campionati Regionali Basilicata,Venosa (PZ),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135368:campionati-regionali-master-basilicata.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,2/12,,22° Trofeo Rovigo Nuoto,Rovigo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134542:22%C2%B0-trofeo-master-rovigonuoto.html,"2018"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,7/04,,10° Trofeo Pina Cattarinich,Palermo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134922:10%C2%B0-trofeo-pina-cattarinich.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,5/05,,7° Trofeo My Sport,Genova,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134930:7%C2%B0-trofeo-my-sport.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,11/05, ,Memorial Polese,Cagliari,,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,5/05, ,7° Memorial Marco Casale,Giugliano (NA),,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,12/05,,6° Trofeo Europa SC,Brescia,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134940:6%C2%B0-trofeo-europa-sc.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,18-19/05,,6° Meeting CAN Baldesio,Cremona,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134941:6%C2%B0-trofeo-can-baldesio.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,5/05,,15° Trofeo S.Lucia delle Quaglie,Siracusa,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134944:15%C2%B0-trofeo-s-lucia-delle-quaglie.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,12/05,,6° Ulysse Master Speed,Messina,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134945:6%C2%B0-ulysse-master-speed.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,25-26/05,,5° Trofeo Donato Paradiso,Scanzano Ionico (MT),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134946:5%C2%B0-trofeo-donato-paradiso.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,26/05,,19° Meeting Flaminio SC,Roma,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134947:19%C2%B0-meeting-flaminio-sc.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,19/05,,2° Meeting Citta` di Cosenza,Cosenza,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134948:2%C2%B0-meeting-citta`-di-cosenza.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,1/06,,1° Meeting Città di Terni,Terni,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134950:1%C2%B0-meeting-citt%C3%A0-di-terni.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,26/05,,5° Trofeo Master Vittorino da Feltre,Piacenza,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134961:5%C2%B0-trofeo-vittorino-da-feltre.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,26/05,,1° Trofeo Città di Pesaro,Pesaro,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/134972:1%C2%B0-trofeo-nuoto-master-citt%C3%A0-di-pesaro.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,19/05,,1° Trofeo Nadir,Putignano (BA),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135124:1%C2%B0-trofeo-nadir.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,26/05,,5° Trofeo Otrè,Noci (BA),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135125:5%C2%B0-trofeo-master-otre`.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,19/05,,Cuneo Supermaster,Cuneo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135345:3%C2%B0-trofeo-cuneo-supermaster.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,12/05,,5° Trofeo Nota chi Nuota,Roma,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135384:4%C2%B0-trofeo-nota-chi-nuota.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,26/05,,1° Trofeo Città di Imola,Imola (BO),https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/135723:1%C2%B0-trofeo-master-citt%C3%A0-di-imola.html,"2019"
https://www.federnuoto.it/home/master/circuito-supermaster/riepilogo-eventi.html,18/05,,15° Trofeo Polisportiva Palermo,Palermo,https://www.federnuoto.it/home/master/circuito-supermaster/eventi-circuito-supermaster.html#/risultati/136038:15%C2%B0-trofeo-polisposrtiva-palermo.html,"2019"
